time,user,text
1/29/2020 4:07,511NY,Incident on #RonkonkomaBranch EB at New York Penn Station
1/29/2020 4:07,511NY,Construction on #HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube
1/29/2020 4:07,511NY,Closure on #GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level
1/29/2020 4:06,511NY,Cleared: Incident on #NY22A Both directions at CR 20
1/29/2020 4:04,511NY,Incident on #5Line from 42nd Street-Grand Central Station to 125th Street Station
1/29/2020 4:04,511NY,Incident on #4Line BothDir/BothDir from 42nd Street-Grand Central Station to 125th Street Station
1/29/2020 4:02,511NYC,Construction on #I278 WB at Queens-Kings County Line; Koskuisko Bridge
1/29/2020 4:02,511NYC,Incident on #I678 SB at Exit 5 - 101st Avenue
1/29/2020 4:02,511NY,Cleared: Construction on #PortJersey
1/29/2020 4:01,511NY,Updated: Special Event on #RadioCityMusicHall
1/29/2020 4:01,511NY,Updated: Construction on #PortJersey
1/29/2020 3:58,511nyLongIsland,Construction on #LongBeachBranch WB from Long Beach Station to New York Penn Station
1/29/2020 3:58,511NY,Cleared: Special Event on #RadioCityMusicHall
1/29/2020 3:58,511NY,Construction on #LongBeachBranch WB from Long Beach Station to New York Penn Station
1/29/2020 3:53,511NY,Incident on #GladstoneBranch WB at Far Hills/Bedminster Station
1/29/2020 3:52,511NY,Construction on #NewJerseyTurnpike SB from South of Interchange 6 - Pennsylvania Turnpike to Inner and
1/29/2020 3:52,511NY,Cleared: Incident on #NewJerseyTurnpike at Interchange 13 - I-278/Goethals Bridge
1/29/2020 3:50,511NYC,Updated: Closure on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level
1/29/2020 3:46,511NYC,Incident on #I278 WB at Wythe Avenue
1/29/2020 3:45,511NY,Updated: Incident on #ValleyLine at Bound Brook Station
1/29/2020 3:45,511NY,Construction on #ThrogsNeckBridge SB at Queens Bound
1/29/2020 3:45,511NY,Updated: Incident on #RaritanLine at Bound Brook Station
1/29/2020 3:43,511NY,Construction on #I678 SB at Linden Place; I-678
1/29/2020 3:43,511NYC,Construction on #I678 SB at Linden Place; I-678
1/29/2020 3:42,511NY,Construction on #GardenStateParkway SB from Exit 117 - NJ 36 to South of Exit 117 - NJ 36
1/29/2020 3:42,511NYC,Closure on #BatteryParkUnderpass Both directions from FDR Drive to NY 9A/West Street
1/29/2020 3:40,511nyG,Updated: Incident on #GLine at Carroll Street Station
1/29/2020 3:40,511nyBDFV,Updated: Incident on #FLine NB at Carroll Street Station
1/29/2020 3:40,511NY,Incident on #GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza
1/29/2020 3:40,511NY,Updated: Incident on #GLine at Carroll Street Station
1/29/2020 3:40,511NYC,Updated: Incident on #FLine NB at Carroll Street Station
1/29/2020 3:39,511NY,Construction on #I91S SB at Exit 8 (RTE 17)
1/29/2020 3:39,511NY,Cleared: Incident on #S8N NB at 0.59 miles beyond Exit 2 (LAFAYETTE SQ)
1/29/2020 3:39,511NY,Construction on #NJ35 SB at 6th Av
1/29/2020 3:39,511nyLongIsland,Incident on #BabylonBranch EB at Babylon Station
1/29/2020 3:39,511NY,Incident on #BabylonBranch EB at Babylon Station
1/29/2020 3:37,511NY,Updated: Incident on #WassaicBranch Both directions from Harlem Valley-Wingdale Station to Hawthorne
1/29/2020 3:37,511NY,Construction on #US206 Both directions at I-195
1/29/2020 3:37,511NYMidHudson,Updated: Incident on #WassaicBranch Both directions from Harlem Valley-Wingdale Station to Hawthorne
1/29/2020 3:36,511NY,Construction on #US130 NB at South of CR 543/Beverly Rd
1/29/2020 3:35,511NY,Updated: Construction on #I87NYSThruway NB from Before Exit 6A (I-87) - Ridge Hill Corporate Dr to After
1/29/2020 3:35,511NYMidHudson,Updated: Construction on #I87NYSThruway NB from Before Exit 6A (I-87) - Ridge Hill Corporate Dr to After
1/29/2020 3:34,511nyLongIsland,Construction on #MontaukBranch Both directions from Babylon Station to Montauk Station
1/29/2020 3:32,511NYC,Construction on #FranklinDRooseveltDrive NB at Exit 9 - East 42nd Street
1/29/2020 3:32,511NY,Cleared: Incident on #I87Northway NB at Twin Bridges; Town of Halfmoon; Town of Colonie Line
1/29/2020 3:32,511NY,Construction on #FranklinDRooseveltDrive NB at Exit 9 - East 42nd Street
1/29/2020 3:29,511nyWNY,Updated: Construction on #I190NiagaraThruway NB from Before Exit N6 (I-190) - Elm St - Oak St to Before Exit
1/29/2020 3:29,511NYMidHudson,Construction on #I87NYSThruway NB from Before Exit 6A (I-87) - Ridge Hill Corporate Dr to After Yonkers Toll Barrier
1/29/2020 3:29,511nyWNY,Incident on #I90NYSThruway WB from Before Exit 57 (I-90) - Hamburg (Rte 75) to Exit 57 (I-90) - Hamburg (Rte 75)
1/29/2020 3:29,511NY,Construction on #I87NYSThruway NB from Before Exit 6A (I-87) - Ridge Hill Corporate Dr to After Yonkers Toll Barrier
1/29/2020 3:29,511NY,Incident on #I90NYSThruway WB from Before Exit 57 (I-90) - Hamburg (Rte 75) to Exit 57 (I-90) - Hamburg (Rte 75)
1/29/2020 3:29,511NY,Updated: Construction on #I190NiagaraThruway NB from Before Exit N6 (I-190) - Elm St - Oak St to Before Exit
1/29/2020 3:25,511NY,Incident on #NY35 EB at North Salem Road; NY 121
1/29/2020 3:23,511NY,Incident on #SouthernStateParkway WB from Exit 39N - NY 231 to Exit 33 - NY 109
1/29/2020 3:22,511NY,Cleared: Incident on #I787 NB at Exit 4B southbound; Clinton Avenue; US 9
1/29/2020 3:22,511NY,Construction on #FranklinDRooseveltDrive SB from 30th Street to 25th Street
1/29/2020 3:22,511NYC,Construction on #FranklinDRooseveltDrive SB from 30th Street to 25th Street
1/29/2020 3:21,511NY,Cleared: Incident on #I84W WB at Exit 63 (RTE 30)
1/29/2020 3:19,511NYC,Construction on #I278 EB at Metropolitan Avenue; Williamsburg Bridge
1/29/2020 3:19,511NYC,Construction on #I278 WB from East 138th Street; I-278-Bruckner Expressway to East 141st Street
1/29/2020 3:19,511NY,Construction on #I278 EB at Metropolitan Avenue; Williamsburg Bridge
1/29/2020 3:19,511NY,Construction on #I278 WB from East 138th Street; I-278-Bruckner Expressway to East 141st Street
1/29/2020 3:17,511NY,Incident on #I495 WB from Exit 53 - Sagtikos State Parkway; Wicks Road; CR 7 to Exit 49N - NY 110
1/29/2020 3:17,511NY,Cleared: Incident on #NJ47 NB from Ocean Av/Atlantic Ave to Susquehanna Av
1/29/2020 3:17,511nyLongIsland,Incident on #I495 WB from Exit 53 - Sagtikos State Parkway; Wicks Road; CR 7 to Exit 49N - NY 110
1/29/2020 3:16,511NY,Cleared: Incident on #5Line at Intervale Avenue Station
1/29/2020 3:16,511NY,Cleared: Incident on #2Line NB at Intervale Avenue Station
1/29/2020 3:15,511NY,Cleared: Incident on #SelectBus at Jamaica Center
1/29/2020 3:15,511NY,Cleared: Incident on #LocalBus at Jamaica Center
1/29/2020 3:15,511NY,Cleared: Incident on #QueensBus at Jamaica Center
1/29/2020 3:15,511NY,Cleared: Incident on #ExpressBus at Gowanus Expressway between the Belt Parkway and the Brooklyn-Queens Expressway
1/29/2020 3:15,511NY,Cleared: Incident on #BrooklynBus at Gowanus Expressway between the Belt Parkway and the Brooklyn-Queens Expressway
1/29/2020 3:15,511NY,Cleared: Incident on #QueensBus at Downtown Flushing
1/29/2020 3:15,511NY,Cleared: Incident on #B83Bus from Pennsylvania :Fulton to Pennsylvania :Blake
1/29/2020 3:15,511NY,Cleared: Incident on #QueensBus
1/29/2020 3:15,511NY,Cleared: Incident on #CoastLine at New York Penn Station
1/29/2020 3:15,511NY,Cleared: Incident on #JerseyLine at New York Penn Station
1/29/2020 3:15,511NY,Cleared: Incident on #VariousBus Both directions at Jamaica Center
1/29/2020 3:15,511NY,Cleared: Incident on #VariousBus at Gowanus Expressway between the Belt Parkway and the Brooklyn-Queens Expressway
1/29/2020 3:15,511NY,Cleared: Incident on #B11Bus from 49th Street : 6th Avenue to 49th Street : 7th Avenue
1/29/2020 3:15,511NY,Cleared: Incident on #VariousBus Both directions at Downtown Flushing
1/29/2020 3:15,511NY,Cleared: Incident on #B20Bus from Pennsylvania :Fulton to Pennsylvania :Blake
1/29/2020 3:15,511NY,Cleared: Incident on #Q24Bus from Atlantic Avenue : Pennsylvania Avenue to Atlantic Avenue : Logan Street
1/29/2020 3:15,511NY,Cleared: Incident on #VariousBus Both directions
1/29/2020 3:15,511NY,Cleared: Incident on #NorthLine at New York Penn Station
1/29/2020 3:15,511NY,Cleared: Incident on #B41Bus Both directions from Flatbush Avenue: Parkside Avenue to Flatbush Avenue: Nostrand Avenue
1/29/2020 3:14,511NYC,Construction on #GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway
1/29/2020 3:14,511NYC,Construction on #GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway
1/29/2020 3:14,511NY,Construction on #GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway
1/29/2020 3:14,511NY,Construction on #GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway
1/29/2020 3:12,511NY,Incident on #I87Northway NB at Twin Bridges; Town of Halfmoon; Town of Colonie Line
1/29/2020 3:07,511NY,Cleared: Closure on #NY104 Both directions from US 11 to I-81
1/29/2020 3:06,511NY,Cleared: Closure on #78ThStreet WB from 4th Avenue to 3rd Avenue
1/29/2020 3:03,511NY,Updated: Incident on #S8N NB at 0.59 miles beyond Exit 2 (LAFAYETTE SQ)
1/29/2020 3:01,511nyLS,Construction on #LLine Both directions from Bedford Avenue Station to Rockaway Parkway-Canarsie Station
1/29/2020 3:01,511NY,Construction on #I287 NB at Exit 22 - US 202
1/29/2020 3:01,511NYC,Construction on #LLine Both directions from Bedford Avenue Station to Rockaway Parkway-Canarsie Station
1/29/2020 3:00,511NY,Cleared: Construction on #I84W WB at Exit 22 (UNION ST)
1/29/2020 3:00,511NY,Cleared: Incident on #S8S SB at 0.40 miles before Exit 2 (FAIRFIELD AVE)
1/29/2020 2:59,511NY,Cleared: Incident on #NJ147 WB at Garden State Parkway
1/29/2020 2:58,511NY,Incident on #CoastLine at New York Penn Station
1/29/2020 2:58,511NY,Incident on #JerseyLine at New York Penn Station
1/29/2020 2:58,511NY,Construction on #GardenStateParkway SB from North of Exit 69 - CR 532/Waretown Rd to North of Exit 69 -
1/29/2020 2:58,511NY,Incident on #NorthLine at New York Penn Station
1/29/2020 2:58,511NYC,Incident on #CoastLine at New York Penn Station
1/29/2020 2:58,511NYC,Incident on #JerseyLine at New York Penn Station
1/29/2020 2:58,511NYC,Incident on #NorthLine at New York Penn Station
1/29/2020 2:57,511NY,Cleared: Incident on #I91S SB at 1.00 miles before Exit 23 (WEST ST)
1/29/2020 2:55,511nyAlbany,Construction on #DunnMemorialBridge EB at Route 9 &amp; 20
1/29/2020 2:53,511nyWNY,Construction on #I190NiagaraThruway NB from Before Exit N6 (I-190) - Elm St - Oak St to Before Exit N7 (I-190)
1/29/2020 2:53,511NY,Construction on #I190NiagaraThruway NB from Before Exit N6 (I-190) - Elm St - Oak St to Before Exit N7 (I-190)
1/29/2020 2:52,511NYC,Incident on #GeorgeWashingtonBridge WB at New York Side/Lower Level
1/29/2020 2:52,511NY,Construction on #PortNewarkElizabethMarineTerminal
1/29/2020 2:52,511NY,Incident on #GeorgeWashingtonBridge WB at New York Side/Lower Level
1/29/2020 2:51,511NY,Construction on #I84W WB at Exit 22 (UNION ST)
1/29/2020 2:51,511NY,Construction on #I787 NB at Exit 7E; NY 378 eastbound
1/29/2020 2:51,511NY,Incident on #S8S SB at 0.40 miles before Exit 2 (FAIRFIELD AVE)
1/29/2020 2:51,511nyAlbany,Construction on #I787 NB at Exit 7E; NY 378 eastbound
1/29/2020 2:50,511NY,Cleared: Incident on #NJ73 SB at CR 708/Gibbsboro Rd
1/29/2020 2:50,511NYMidHudson,Updated: Incident on #WassaicBranch at Wassaic Station
1/29/2020 2:49,511NY,Cleared: Closure on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level
1/29/2020 2:48,511NY,Closure on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level
1/29/2020 2:48,511NY,Incident on #S8N NB at 0.59 miles beyond Exit 2 (LAFAYETTE SQ)
1/29/2020 2:48,511NYC,Closure on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level
1/29/2020 2:48,511NY,Cleared: Incident on #NJ47 SB at North of CR 624/West Rio Grand Ave
1/29/2020 2:47,511NYC,Construction on #GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway
1/29/2020 2:44,511NY,Cleared: Construction on #I87NYSThruway SB from After Exit 11 (I-87) - Nyack (US 9W) to Before Exit 10 (I-87) - South Nyack (US 9W)
1/29/2020 2:43,511NYC,Incident on #GLine at Carroll Street Station
1/29/2020 2:43,511NYC,Incident on #FLine NB at Carroll Street Station
1/29/2020 2:43,511nyG,Incident on #GLine at Carroll Street Station
1/29/2020 2:43,511nyBDFV,Incident on #FLine NB at Carroll Street Station
1/29/2020 2:42,511NY,Construction on #I495 EB from Exit 46 - Sunnyside Boulevard to Exit 48 - Round Swamp Road
1/29/2020 2:42,511NYC,Construction on #NLine NB at Prince Street Station
1/29/2020 2:42,511nyLongIsland,Construction on #I495 EB from Exit 46 - Sunnyside Boulevard to Exit 48 - Round Swamp Road
1/29/2020 2:42,511NY,Cleared: Incident on #84BBus at Journal Square Transportation Center
1/29/2020 2:41,511NY,Incident on #US9 SB from Latham Circle; Troy Schenectady Road; NY 2 to Kunker Ave
1/29/2020 2:41,511NY,Construction on #NY440 SB at Exit 9 - I-278
1/29/2020 2:41,511NYC,Construction on #NY440 SB at Exit 9 - I-278
1/29/2020 2:41,511nyAlbany,Incident on #US9 SB from Latham Circle; Troy Schenectady Road; NY 2 to Kunker Ave
1/29/2020 2:39,511NY,Updated: Incident on #I84W WB at Exit 63 (RTE 30)
1/29/2020 2:39,511NY,Construction on #I84W WB at Exit 22 (UNION ST)
1/29/2020 2:37,511NY,Incident on #NJ147 WB at Garden State Parkway
1/29/2020 2:34,511NY,Incident on #I787 NB at Exit 4B southbound; Clinton Avenue; US 9
1/29/2020 2:34,511NY,Incident on #I84W WB at Exit 63 (RTE 30)
1/29/2020 2:34,511NY,Updated: Incident on #NJ47 NB from Ocean Av/Atlantic Ave to Susquehanna Av
1/29/2020 2:34,511nyAlbany,Incident on #I787 NB at Exit 4B southbound; Clinton Avenue; US 9
1/29/2020 2:34,511NY,Cleared: Special Event on #NJ47 at Ocean Av/Atlantic Ave
1/29/2020 2:34,511NY,Cleared: Incident on #MeadowbrookStateParkway NB at Exit M1 - Old Country Road
1/29/2020 2:31,511NY,Updated: Special Event on #WildwoodsConventionCenter at 4501 Boardwalk
1/29/2020 2:31,511NY,Updated: Special Event on #NJ47 at Ocean Av/Atlantic Ave
1/29/2020 2:31,511NYC,Updated: Special Event on #MadisonSquareGarden at the Arena
1/29/2020 2:31,511NY,Construction on #UnionTurnpike WB from Park Drive to Queens Blvd
1/29/2020 2:31,511NYC,Construction on #UnionTurnpike WB from Park Drive to Queens Blvd
1/29/2020 2:30,511NY,Incident on #NY22A Both directions at CR 20
1/29/2020 2:30,511nyAlbany,Incident on #NY22A Both directions at CR 20
1/29/2020 2:29,511NY,Cleared: Incident on #HarlemLine SB from Mount Kisco Station to Grand Central Terminal
1/29/2020 2:28,511NYC,Construction on #NLine BothDir/BothDir from 57th Street Station to 59th Street Station
1/29/2020 2:28,511NYC,Construction on #MLine Both directions from Metropolitan Avenue-Middle Village Station to
1/29/2020 2:28,511NYC,Construction on #2Line BothDir/BothDir at Eastern Parkway-Brooklyn Museum Station
1/29/2020 2:28,511NYC,Construction on #FLine Both directions from 21st Street-Queensbridge Station to Jackson Hts-Roosevelt Avenue Station
1/29/2020 2:28,511NYC,Construction on #2Line Both directions from Chambers Street Station to Atlantic Avenue-Barclays Center Station
1/29/2020 2:28,511NY,Construction on #2Line Both directions from Chambers Street Station to Atlantic Avenue-Barclays Center Station
1/29/2020 2:28,511ny123,Construction on #2Line BothDir/BothDir at Eastern Parkway-Brooklyn Museum Station
1/29/2020 2:28,511nyBDFV,Construction on #FLine Both directions from 21st Street-Queensbridge Station to Jackson Hts-Roosevelt Avenue Station
1/29/2020 2:28,511nyJMZ,Construction on #MLine Both directions from Metropolitan Avenue-Middle Village Station to
1/29/2020 2:28,511ny123,Construction on #2Line Both directions from Chambers Street Station to Atlantic Avenue-Barclays Center Station
1/29/2020 2:28,511NY,Cleared: Special Event on #WildwoodsConventionCenter at 4501 Boardwalk
1/29/2020 2:27,511NY,Construction on #NLine Queens bound at 57th Street Station
1/29/2020 2:27,511NY,Closure on #NY104 Both directions from US 11 to I-81
1/29/2020 2:27,511NY,Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center Station
1/29/2020 2:27,511NY,Construction on #2Line Both directions from 96th Street Station to Chambers Street Station
1/29/2020 2:27,511nyACE,Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center Station
1/29/2020 2:27,511ny123,Construction on #2Line Both directions from 96th Street Station to Chambers Street Station
1/29/2020 2:27,511NYC,Construction on #NLine Queens bound at 57th Street Station
1/29/2020 2:27,511NYC,Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center Station
1/29/2020 2:27,511NY,Cleared: Special Event on #MadisonSquareGarden at the Arena
1/29/2020 2:27,511nyCNY,Closure on #NY104 Both directions from US 11 to I-81
1/29/2020 2:27,511NYC,Construction on #2Line Both directions from 96th Street Station to Chambers Street Station
1/29/2020 2:27,511NY,Cleared: Construction on #FLine Both directions from 21st Street-Queensbridge Station to Forest Hills-71st Avenue Station
1/29/2020 2:25,511NY,Updated: Incident on #NJ73 SB at CR 708/Gibbsboro Rd
1/29/2020 2:24,511NY,Cleared: Incident on #MorristownLine at Dover Station
1/29/2020 2:24,511NY,Updated: Incident on #NJ73 SB at CR 689/Milford Rd
1/29/2020 2:22,511NY,Incident on #NJ73 SB at CR 689/Milford Rd
1/29/2020 2:22,511NY,Updated: Incident on #NJ47 SB at North of CR 624/West Rio Grand Ave
1/29/2020 2:21,511NYC,Construction on #I678 NB at Exit 10 - Grand Central Parkway
1/29/2020 2:20,511NYC,Incident on #5Line at Intervale Avenue Station
1/29/2020 2:20,511NYC,Incident on #2Line NB at Intervale Avenue Station
1/29/2020 2:20,511ny456,Incident on #5Line at Intervale Avenue Station
1/29/2020 2:18,511NY,Incident on #CorridorLine at Trenton Station
1/29/2020 2:18,511NY,Incident on #NortheastLine at Trenton Station
1/29/2020 2:18,511NY,Construction on #S8N NB at Exit 31 (EB I-84)
1/29/2020 2:17,511NYMidHudson,Construction on #I287CrossWestchesterExpwy WB from Before Exit 11 (I-287) - Portchester- Rye (US 1) to
1/29/2020 2:15,511NY,Updated: Incident on #I91S SB at 1.00 miles before Exit 23 (WEST ST)
1/29/2020 2:14,511nyLongIsland,Updated: Incident on #MeadowbrookStateParkway NB at Exit M1 - Old Country Road
1/29/2020 2:12,511nyLongIsland,Incident on #MeadowbrookStateParkway NB at Exit M1 - Old Country Road
1/29/2020 2:12,511NY,Cleared: Incident on #TaconicStateParkway NB at Exit 11 - Kitchawan Road; NY 134
1/29/2020 2:10,511NY,Closure on #QueensboroBridge EB at Queens Bound
1/29/2020 2:09,511nyLongIsland,Construction on #SagtikosStateParkway Both directions from Exit SM2 - NY 454; Veterans Memorial Parkway;
1/29/2020 2:09,511NY,Incident on #I91S SB at 1.00 miles before Exit 23 (WEST ST)
1/29/2020 2:09,511NY,Construction on #SagtikosStateParkway Both directions from Exit SM2 - NY 454; Veterans Memorial Parkway;
1/29/2020 2:04,511NY,Closure on #NJ47 SB at North of CR 624/West Rio Grand Ave
1/29/2020 2:04,511NY,Cleared: Incident on #HarlemLine from Valhalla Station to Hawthorne Station
1/29/2020 2:03,511NY,Cleared: Incident on #6Bus from Journal Square to Ocean Avenue at Merrit Street
1/29/2020 2:02,511NY,Construction on #I295 SB at south of Exit 71 - Federal City Rd
1/29/2020 2:02,511NY,Construction on #US1 NB at Ryders Ln
1/29/2020 2:02,511NY,Construction on #I287 SB at Exit 14 - US 22
1/29/2020 2:02,511NY,Construction on #US130 SB from North of NJ 47 to North of NJ 47
1/29/2020 2:02,511NY,Construction on #NJ3 Both directions at Harmon Cove
1/29/2020 2:02,511NY,Cleared: Construction on #I787 NB at Exit 7E; NY 378 eastbound
1/29/2020 2:01,511nyAlbany,Updated: Construction on #I787 NB at Exit 7E; NY 378 eastbound
1/29/2020 1:59,511NYMidHudson,Incident on #TaconicStateParkway NB at Exit 11 - Kitchawan Road; NY 134
1/29/2020 1:57,511nyBDFV,Construction on #FLine Both directions from 21st Street-Queensbridge Station to Forest Hills-71st Avenue Station
1/29/2020 1:57,511NY,Construction on #FLine Both directions from 21st Street-Queensbridge Station to Forest Hills-71st Avenue Station
1/29/2020 1:56,511NY,Cleared: Construction on #BX34Bus at Bainbridge Avenue:Fordham Road
1/29/2020 1:54,511NYMidHudson,Incident on #WassaicBranch at Wassaic Station
1/29/2020 1:53,511NY,Cleared: Special Event on #US9 Both directions from NJ 47/Delsea Dr to South of NJ 47/Delsea Dr
1/29/2020 1:53,511NY,Cleared: Closure on #NJ47 Both directions from US 9 to Ocean Av/Atlantic Ave
1/29/2020 1:51,511NY,Cleared: Incident on #SouthernStateParkway EB at Exit 32N - NY 110
1/29/2020 1:50,511NY,Incident on #I87NYSThruway NB from Before Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) to Exit 17 (I-87) -
1/29/2020 1:50,511nyCNY,Incident on #I81 NB at Exit 18 - Adams Street; Harrison Street
1/29/2020 1:50,511NYMidHudson,Incident on #I87NYSThruway NB from Before Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) to Exit 17 (I-87) -
1/29/2020 1:50,511NY,Incident on #I81 NB at Exit 18 - Adams Street; Harrison Street
1/29/2020 1:50,511NY,Cleared: Incident on #I90NYSThruway WB from Before Exit 44 (I-90) - Canandaigua (Rte 332) to Exit 44 (I-90) - Canandaigua (Rte 332)
1/29/2020 1:49,511nyLongIsland,Incident on #SouthernStateParkway EB at Exit 32N - NY 110
1/29/2020 1:47,511NY,Cleared: Incident on #GardenStateParkway Both directions at Exit 4 - NJ 47 (Northbound Exit Only)
1/29/2020 1:46,511NY,Updated: Incident on #84BBus at Journal Square Transportation Center
1/29/2020 1:45,511NY,Incident on #84Bus at Journal Square Transportation Center
1/29/2020 1:45,511NY,Cleared: Incident on #SprainBrookStateParkway NB at Exit - I-287
1/29/2020 1:42,511NY,Cleared: Incident on #I280 WB at East of Exit 1W - New Rd
1/29/2020 1:42,511NY,Construction on #S72W WB at S72W@Start
